Designator,Comment,Mid X(mm),Mid Y(mm),Rotation,Layer
D246,GC-3030WXXX-J2B2D0-4,510,480,0,Top
D247,GC-3030WXXX-J2B2D0-4,40,460,0,Top
D248,GC-3030WXXX-J2B2D0-4,130,440,0,Top
D249,GC-3030WXXX-J2B2D0-4,220,420,0,Top
D250,GC-3030WXXX-J2B2D0-4,310,400,0,Top
D251,GC-3030WXXX-J2B2D0-4,400,480,0,Top
D252,GC-3030WXXX-J2B2D0-4,490,460,0,Top
D253,GT-3535B450-S1D0,40,45,0,Top
D254,GT-3535B450-S1D0,130,45,0,Top
D255,GT-3535B450-S1D0,220,45,0,Top
D256,GT-3535B450-S1D0,310,45,0,Top
D257,GT-3535B450-S1D0,400,45,0,Top
D258,GT-3535B450-S1D0,490,45,0,Top
D259,GT-3535B450-S1D0,60,140,0,Top
D260,GT-3535B450-S1D0,150,140,0,Top
D261,GT-3535B450-S1D0,240,140,0,Top
D262,GT-3535B450-S1D0,330,140,0,Top
D263,GT-3535B450-S1D0,420,140,0,Top
D264,GT-3535B450-S1D0,510,140,0,Top
D265,GT-3535B450-S1D0,40,235,0,Top
D266,GT-3535B450-S1D0,130,235,0,Top
D267,GT-3535B450-S1D0,220,235,0,Top
D268,GT-3535B450-S1D0,310,235,0,Top
D269,GT-3535B450-S1D0,400,235,0,Top
D270,GT-3535B450-S1D0,490,235,0,Top
D271,GT-3535B450-S1D0,60,330,0,Top
D272,GT-3535B450-S1D0,150,330,0,Top
D273,GT-3535B450-S1D0,240,330,0,Top
D274,GT-3535B450-S1D0,330,330,0,Top
D275,GT-3535B450-S1D0,420,330,0,Top
D276,GT-3535B450-S1D0,510,330,0,Top
D277,GT-3535R660-S2F0,40,35,0,Top
D278,GT-3535R660-S2F0,130,35,0,Top
D279,GT-3535R660-S2F0,220,35,0,Top
D280,GT-3535R660-S2F0,310,35,0,Top
D281,GT-3535R660-S2F0,400,35,0,Top
D282,GT-3535R660-S2F0,490,35,0,Top
D283,GT-3535R660-S2F0,60,130,0,Top
D284,GT-3535R660-S2F0,150,130,0,Top
D285,GT-3535R660-S2F0,240,130,0,Top
D286,GT-3535R660-S2F0,330,130,0,Top
D287,GT-3535R660-S2F0,420,130,0,Top
D288,GT-3535R660-S2F0,510,130,0,Top
D289,GT-3535R660-S2F0,40,225,0,Top
D290,GT-3535R660-S2F0,130,225,0,Top
D291,GT-3535R660-S2F0,220,225,0,Top
D292,GT-3535R660-S2F0,310,225,0,Top
D293,GT-3535R660-S2F0,400,225,0,Top
D294,GT-3535R660-S2F0,490,225,0,Top
D295,GT-3535R660-S2F0,60,320,0,Top
D296,GT-3535R660-S2F0,150,320,0,Top
D297,GT-3535R660-S2F0,240,320,0,Top
D298,GT-3535R660-S2F0,330,320,0,Top
D299,GT-3535R660-S2F0,420,320,0,Top
D300,GT-3535R660-S2F0,510,320,0,Top
D301,GT-3535R660-S2F0,40,415,0,Top
D302,GT-3535R660-S2F0,130,415,0,Top
D303,GT-3535R660-S2F0,220,415,0,Top
D304,GT-3535R660-S2F0,310,415,0,Top
D305,GT-3535R660-S2F0,400,415,0,Top
D306,GT-3535R660-S2F0,490,415,0,Top
D307,GT-3535R660-S2F0,60,480,0,Top
D308,GT-3535R660-S2F0,150,460,0,Top
D309,GT-3535R660-S2F0,240,440,0,Top
D310,GT-3535R660-S2F0,330,420,0,Top
D311,GT-3535R660-S2F0,420,400,0,Top
D312,GT-3535R660-S2F0,510,480,0,Top
D313,GT-3535R730-S2D5,40,55,0,Top
D314,GT-3535R730-S2D5,130,55,0,Top
D315,GT-3535R730-S2D5,220,55,0,Top
D316,GT-3535R730-S2D5,310,55,0,Top
D317,GT-3535R730-S2D5,400,55,0,Top
D318,GT-3535R730-S2D5,490,55,0,Top
D319,GT-3535R730-S2D5,60,150,0,Top
D320,GT-3535R730-S2D5,150,150,0,Top
D321,GT-3535R730-S2D5,240,150,0,Top
D322,GT-3535R730-S2D5,330,150,0,Top
D323,GT-3535R730-S2D5,420,150,0,Top
D324,GT-3535R730-S2D5,510,150,0,Top
